epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.51705,4.01457,4.6192,4.28728,0,0,0,0,4.00518,4.17613,4.15908,2.858e-05,2.858e-05,2.858e-05
2,8.55565,3.94291,4.58867,4.28426,0,0,0,0,4.00537,4.17607,4.15942,7.13616e-05,7.13616e-05,7.13616e-05
3,10.5886,3.9842,4.58243,4.28122,0,0,0,0,4.00527,4.17551,4.15974,0.000114037,0.000114037,0.000114037
4,12.6115,3.93944,4.59548,4.28662,0,0,0,0,4.00538,4.17554,4.15968,0.000156606,0.000156606,0.000156606
5,14.6709,3.99264,4.55685,4.27385,0,0,0,0,4.00561,4.17221,4.15982,0.00019907,0.00019907,0.00019907
6,16.9386,3.89025,4.55151,4.23966,4e-05,0.00362,2e-05,0,4.00425,4.17267,4.15982,0.000241427,0.000241427,0.000241427
7,19.0247,4.01373,4.56316,4.22307,4e-05,0.00362,2e-05,0,4.00446,4.17291,4.15948,0.000283678,0.000283678,0.000283678
8,21.1134,3.94595,4.45325,4.18108,2e-05,0.00121,1e-05,0,4.00443,4.17554,4.15942,0.000325823,0.000325823,0.000325823
9,23.2009,3.86147,4.46248,4.15941,0,0,0,0,4.00513,4.17583,4.15832,0.000367862,0.000367862,0.000367862
10,25.2901,3.79626,4.41441,4.12725,3e-05,0.00121,1e-05,0,4.00452,4.17645,4.15774,0.000409795,0.000409795,0.000409795
11,27.5324,3.7712,4.35102,4.07645,2e-05,0.00121,1e-05,0,4.00551,4.17877,4.15817,0.000451621,0.000451621,0.000451621
12,29.6131,3.66812,4.3023,4.02226,0,0,0,0,4.00928,4.1861,4.16115,0.000493342,0.000493342,0.000493342
13,31.639,3.59927,4.2627,3.96847,3e-05,0.00121,1e-05,0,4.01721,4.18821,4.16575,0.000534956,0.000534956,0.000534956
14,33.6793,3.52586,4.21585,3.85895,2e-05,0.00121,1e-05,0,4.02671,4.18839,4.1711,0.000576464,0.000576464,0.000576464
15,35.6473,3.51836,4.1385,3.78143,5e-05,0.00274,2e-05,0,4.03728,4.19985,4.18139,0.000617867,0.000617867,0.000617867
