epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.38469,3.96793,4.54204,4.27768,0,0,0,0,4.00515,4.17612,4.15912,1.429e-05,1.429e-05,1.429e-05
2,11.1531,3.86633,4.49371,4.28542,0,0,0,0,4.00529,4.17612,4.15933,4.28346e-05,4.28346e-05,4.28346e-05
3,13.843,3.89914,4.49735,4.27563,0,0,0,0,4.00534,4.17612,4.15936,7.13321e-05,7.13321e-05,7.13321e-05
4,16.5684,3.88561,4.48261,4.29377,0,0,0,0,4.00548,4.17563,4.15972,9.97824e-05,9.97824e-05,9.97824e-05
5,19.2888,3.90071,4.52321,4.28319,0,0,0,0,4.00527,4.17552,4.15959,0.000128186,0.000128186,0.000128186
6,21.9879,3.92398,4.51017,4.2816,0,0,0,0,4.00535,4.17553,4.15986,0.000156542,0.000156542,0.000156542
7,24.7323,3.90339,4.49079,4.28426,0,0,0,0,4.00517,4.17554,4.15998,0.00018485,0.00018485,0.00018485
8,27.4358,3.88545,4.49914,4.27439,0,0,0,0,4.00479,4.17256,4.16023,0.000213112,0.000213112,0.000213112
9,30.1617,3.88609,4.5199,4.29893,4e-05,0.00362,2e-05,0,4.00485,4.17263,4.1603,0.000241327,0.000241327,0.000241327
10,32.9399,3.87072,4.47796,4.25009,0,0,0,0,4.00403,4.17489,4.15974,0.000269494,0.000269494,0.000269494
11,35.6996,3.85063,4.44469,4.21199,0,0,0,0,4.00306,4.17291,4.15994,0.000297614,0.000297614,0.000297614
12,38.4748,3.77931,4.42735,4.18114,3e-05,0.00121,1e-05,0,4.0044,4.17412,4.15956,0.000325687,0.000325687,0.000325687
13,41.3111,3.71978,4.39584,4.1583,0,0,0,0,4.00414,4.17677,4.1595,0.000353713,0.000353713,0.000353713
14,44.1345,3.72418,4.36623,4.1272,3e-05,0.00121,1e-05,0,4.00498,4.17831,4.15973,0.000381692,0.000381692,0.000381692
15,46.9043,3.67848,4.34439,4.09472,3e-05,0.00121,1e-05,0,4.00441,4.17838,4.15996,0.000409624,0.000409624,0.000409624
16,49.6677,3.63199,4.30886,4.06384,0,0,0,0,4.00479,4.17807,4.1617,0.000437508,0.000437508,0.000437508
17,52.4663,3.61119,4.24597,4.00323,3e-05,0.00121,1e-05,0,4.00827,4.18212,4.16417,0.000465345,0.000465345,0.000465345
18,55.2649,3.51896,4.19279,3.94716,0,0,0,0,4.0109,4.18784,4.16812,0.000493135,0.000493135,0.000493135
19,58.0102,3.49919,4.14823,3.89348,3e-05,0.00121,1e-05,0,4.01468,4.18751,4.17321,0.000520878,0.000520878,0.000520878
20,60.7143,3.40832,4.10797,3.83111,3e-05,0.00121,1e-05,0,4.01968,4.191,4.17925,0.000548574,0.000548574,0.000548574
21,63.3535,3.33338,4.0671,3.75615,3e-05,0.00121,1e-05,0,4.02706,4.19998,4.18811,0.000576223,0.000576223,0.000576223
22,66.0008,3.30038,3.99321,3.66434,0,0,0,0,4.03396,4.21109,4.20227,0.000603824,0.000603824,0.000603824
23,68.6365,3.22087,3.9574,3.59655,2e-05,0.00121,1e-05,0,4.03673,4.21988,4.20898,0.000631379,0.000631379,0.000631379
24,71.2261,3.1692,3.88278,3.50739,2e-05,0.00121,1e-05,0,4.03846,4.23175,4.21597,0.000658886,0.000658886,0.000658886
25,73.8249,3.12373,3.82678,3.42671,2e-05,0.00121,1e-05,0,4.0355,4.24522,4.21948,0.000686346,0.000686346,0.000686346
26,76.4132,3.08323,3.78467,3.38505,0,0,0,0,4.04033,4.25683,4.22956,0.000713759,0.000713759,0.000713759
27,79.0165,3.02243,3.76368,3.30396,2e-05,0.00121,1e-05,0,4.0399,4.27582,4.2368,0.000741124,0.000741124,0.000741124
28,81.6185,2.90247,3.68502,3.1697,2e-05,0.00121,1e-05,0,4.05755,4.29315,4.25654,0.000768443,0.000768443,0.000768443
29,84.2087,2.85487,3.65167,3.10188,2e-05,0.00121,1e-05,0,4.06112,4.30775,4.25556,0.000795714,0.000795714,0.000795714
30,86.8,2.76072,3.566,3.03376,0,0,0,0,4.05327,4.32471,4.24977,0.000822939,0.000822939,0.000822939
31,89.394,2.69017,3.50203,2.94625,0,0,0,0,4.04346,4.3439,4.2424,0.000850116,0.000850116,0.000850116
32,91.9785,2.60686,3.39053,2.84674,0,0,0,0,4.00867,4.35284,4.22411,0.000877246,0.000877246,0.000877246
33,94.5651,2.52715,3.33377,2.78556,0,0,0,0,4.00892,4.37843,4.23091,0.000904328,0.000904328,0.000904328
34,97.3347,2.49595,3.27535,2.73615,0,0,0,0,3.99903,4.39878,4.23114,0.000931364,0.000931364,0.000931364
35,99.9227,2.47881,3.21511,2.67085,0,0,0,0,4,4.42401,4.24184,0.000958352,0.000958352,0.000958352
36,102.51,2.39332,3.14897,2.60338,0,0,0,0,3.97919,4.43327,4.22683,0.000985294,0.000985294,0.000985294
37,105.506,2.36388,3.08996,2.55984,0,0,0,0,3.9832,4.45683,4.23976,0.00101219,0.00101219,0.00101219
38,108.133,2.33058,3.08595,2.52036,0,0,0,0,4.01006,4.4845,4.26529,0.00103903,0.00103903,0.00103903
39,110.743,2.30558,2.95872,2.46471,0,0,0,0,4.01806,4.50081,4.26788,0.00106583,0.00106583,0.00106583
40,113.317,2.23434,2.90711,2.3982,0,0,0,0,3.99879,4.50175,4.24893,0.00109259,0.00109259,0.00109259
41,115.91,2.22756,2.87434,2.39342,0,0,0,0,4.00717,4.52013,4.25686,0.00111929,0.00111929,0.00111929
42,118.494,2.19157,2.82397,2.36353,0,0,0,0,4.06208,4.51593,4.27644,0.00114595,0.00114595,0.00114595
43,121.088,2.17401,2.78937,2.33104,0,0,0,0,4.06299,4.35754,4.26986,0.00117256,0.00117256,0.00117256
